n,m,c,tiempo greedy,conflictos greedy,tiempo busqueda local v2, conflictos busqueda local v2
100,4950,50,62814756,66,25067965,66
120,7140,50,51629413,114,32111460,114
144,10296,50,45072973,169,40101192,169
172,14706,50,39687726,272,94328305,272
206,21115,50,56975097,389,263104353,389
247,30381,50,60015753,611,494997147,611
296,43660,50,89073601,941,919560605,941
355,62835,50,146681352,1330,2813575655,1330
426,90525,50,186001342,2103,7387918931,2103
511,130305,50,274651345,2824,12502497515,2824
613,187578,50,575462018,4117,32431950231,4117
735,269745,50,683489209,6456,105510198109,6456
882,388521,50,1152896420,9111,188094167879,9111
1058,559153,50,3411162320,12838,331500002833,12838
1269,804546,50,2101821023,19577,907284293579,19577
